match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
PBKS Vs RR,RR,9,TrentBoultÂ,0,0,0,0,-,not_out,
LSG Vs DC,LSG,1,Quintonde KockÂ,19,13,4,0,146.15,out,
LSG Vs DC,LSG,2,KLRahulÂ(c),39,22,5,1,177.27,out,
LSG Vs DC,LSG,3,DevduttPadikkalÂ,3,6,0,0,50.00,out,
LSG Vs DC,LSG,4,MarcusStoinisÂ,8,10,1,0,80.00,out,
LSG Vs DC,LSG,5,NicholasPooranÂ,0,1,0,0,0.00,out,
LSG Vs DC,LSG,6,DeepakHoodaÂ,10,13,0,0,76.92,out,
LSG Vs DC,LSG,7,AyushBadoniÂ,55,35,5,1,157.14,not_out,
LSG Vs DC,LSG,8,KrunalPandyaÂ,3,4,0,0,75.00,out,
LSG Vs DC,LSG,9,ArshadKhanÂ,20,16,2,0,125.00,not_out,
LSG Vs DC,DC,1,PrithviShawÂ,32,22,6,0,145.45,out,
LSG Vs DC,DC,2,DavidWarnerÂ,8,9,1,0,88.88,out,
LSG Vs DC,DC,3,JakeFraser-McGurkÂ,55,35,2,5,157.14,out,
LSG Vs DC,DC,4,RishabhPantÂ(c),41,24,4,2,170.83,out,
LSG Vs DC,DC,5,TristanStubbsÂ,15,9,0,1,166.66,not_out,
LSG Vs DC,DC,6,ShaiHopeÂ,11,10,1,0,110.00,not_out,
