match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
PBKS Vs RR,RR,AveshKhan,4,0,34,2,8.50,8,2,2,0,0,
PBKS Vs RR,RR,YuzvendraChahal,4,0,31,1,7.75,6,0,2,2,1,
PBKS Vs RR,RR,KeshavMaharaj,4,0,23,2,5.75,8,2,0,0,0,
PBKS Vs RR,PBKS,ArshdeepSingh,3.5,0,45,1,11.73,8,3,3,1,0,
PBKS Vs RR,PBKS,KagisoRabada,4,0,18,2,4.50,14,2,0,0,0,
PBKS Vs RR,PBKS,SamCurran,4,0,25,2,6.25,9,3,0,1,0,
PBKS Vs RR,PBKS,LiamLivingstone,3,0,21,1,7.00,9,2,1,1,0,
PBKS Vs RR,PBKS,HarshalPatel,2,0,21,1,10.50,1,1,1,0,0,
PBKS Vs RR,PBKS,HarpreetBrar,3,0,22,0,7.33,2,1,0,0,0,
LSG Vs DC,DC,KhaleelAhmed,4,0,41,2,10.25,11,5,2,1,0,
LSG Vs DC,DC,IshantSharma,4,0,36,1,9.00,6,4,0,4,0,
LSG Vs DC,DC,MukeshKumar,4,0,41,1,10.25,5,6,0,1,0,
LSG Vs DC,DC,AxarPatel,4,0,26,0,6.50,7,2,0,0,0,
LSG Vs DC,DC,KuldeepYadav,4,0,20,3,5.00,10,0,0,1,0,
LSG Vs DC,LSG,ArshadKhan,3.1,0,34,0,10.73,7,4,2,0,0,
LSG Vs DC,LSG,Naveen-ul-Haq,3,0,24,1,8.00,5,3,0,0,0,
LSG Vs DC,LSG,YashThakur,4,0,31,1,7.75,11,1,2,0,0,
LSG Vs DC,LSG,KrunalPandya,3,0,45,0,15.00,4,2,3,3,0,
LSG Vs DC,LSG,RaviBishnoi,4,0,25,2,6.25,12,2,1,0,0,
LSG Vs DC,LSG,MarcusStoinis,1,0,10,0,10.00,2,2,0,0,0,
